File,Lines (% total),Code Lines,% Code,Comment Lines,% Comment,Blank Lines,% Blank
Hopper.java,193 (100.0%),137,71.0%,30,15.5%,26,13.5%
Intake.java,309 (61.6%),240,77.7%,33,10.7%,36,11.7%
ArticulatedHood.java,460 (47.8%),385,83.7%,46,10.0%,29,6.3%
Shooter.java,652 (40.4%),519,79.6%,93,14.3%,40,6.1%
ShootingEnums.java,225 (12.2%),189,84.0%,10,4.4%,26,11.6%
Turret.java,538 (22.6%),430,79.9%,71,13.2%,37,6.9%
BuddyClimber.java,117 (4.7%),98,83.8%,0,0.0%,19,16.2%
Climber.java,194 (7.2%),157,80.9%,5,2.6%,32,16.5%
BaseController.java,87 (3.1%),57,65.5%,14,16.1%,16,18.4%
BopItBasicController.java,25 (0.9%),13,52.0%,8,32.0%,4,16.0%
ButtonPanelController.java,28 (1.0%),14,50.0%,11,39.3%,3,10.7%
ControllerEnums.java,315 (10.0%),202,64.1%,47,14.9%,66,21.0%
ControllerInterfaces.java,23 (0.7%),10,43.5%,10,43.5%,3,13.0%
DrumTimeController.java,28 (0.9%),15,53.6%,10,35.7%,3,10.7%
JoystickController.java,75 (2.3%),32,42.7%,37,49.3%,6,8.0%
SixButtonGuitarController.java,32 (1.0%),18,56.3%,10,31.3%,4,12.5%
WiiController.java,44 (1.3%),19,43.2%,21,47.7%,4,9.1%
XBoxController.java,76 (2.2%),42,55.3%,26,34.2%,8,10.5%
DiscordBot.java,58 (1.7%),34,58.6%,19,32.8%,5,8.6%
ListeningSpy.java,60 (1.7%),47,78.3%,5,8.3%,8,13.3%
MessageHandler.java,204 (5.5%),155,76.0%,36,17.6%,13,6.4%
SlackBot.java,80 (2.1%),62,77.5%,6,7.5%,12,15.0%
AbstractCommand.java,321 (7.7%),167,52.0%,113,35.2%,41,12.8%
CurrentTelemetryCommand.java,25 (0.6%),17,68.0%,4,16.0%,4,16.0%
DriveDistanceCommand.java,145 (3.4%),110,75.9%,18,12.4%,17,11.7%
HelpCommand.java,117 (2.6%),95,81.2%,13,11.1%,9,7.7%
OpenURLCommand.java,99 (2.2%),80,80.8%,6,6.1%,13,13.1%
PingCommand.java,102 (2.2%),83,81.4%,9,8.8%,10,9.8%
PlaySongCommand.java,39 (0.8%),31,79.5%,3,7.7%,5,12.8%
QueueCommand.java,29 (0.6%),21,72.4%,4,13.8%,4,13.8%
RandomQuoteCommand.java,38 (0.8%),28,73.7%,4,10.5%,6,15.8%
RoboPingCommand.java,91 (1.9%),67,73.6%,9,9.9%,15,16.5%
ShootCommand.java,37 (0.8%),28,75.7%,4,10.8%,5,13.5%
ShutdownServerCommand.java,60 (1.2%),44,73.3%,7,11.7%,9,15.0%
SkipSongCommand.java,32 (0.6%),25,78.1%,3,9.4%,4,12.5%
StatusCommand.java,71 (1.4%),54,76.1%,7,9.9%,10,14.1%
TurnCommand.java,95 (1.9%),65,68.4%,18,18.9%,12,12.6%
Wait5TicksThenReplyCommand.java,53 (1.0%),37,69.8%,6,11.3%,10,18.9%
AbstractDriveManager.java,132 (2.5%),77,58.3%,34,25.8%,21,15.9%
DriveManagerStandard.java,496 (8.5%),366,73.8%,90,18.1%,40,8.1%
DriveManagerSwerve.java,353 (5.7%),251,71.1%,45,12.7%,57,16.1%
AbstractAutonManager.java,136 (2.2%),94,69.1%,29,21.3%,13,9.6%
AutonType.java,11 (0.2%),4,36.4%,6,54.5%,1,9.1%
IAutonEnumPath.java,15 (0.2%),4,26.7%,10,66.7%,1,6.7%
Point.java,64 (1.0%),30,46.9%,27,42.2%,7,10.9%
AutonManager.java,51 (0.8%),34,66.7%,3,5.9%,14,27.5%
Trajectories.java,29 (0.4%),18,62.1%,6,20.7%,5,17.2%
AutonManager.java,134 (2.0%),85,63.4%,27,20.1%,22,16.4%
GalacticSearchPaths.java,62 (0.9%),47,75.8%,10,16.1%,5,8.1%
AutonManager.java,53 (0.8%),34,64.2%,3,5.7%,16,30.2%
AutonManager.java,241 (3.5%),188,78.0%,26,10.8%,27,11.2%
AutonRoutines.java,178 (2.5%),74,41.6%,94,52.8%,10,5.6%
AutonSpecialActions.java,79 (1.1%),19,24.1%,54,68.4%,6,7.6%
AutonWaypoint.java,41 (0.6%),28,68.3%,3,7.3%,10,24.4%
Alarms.java,109 (1.5%),54,49.5%,45,41.3%,10,9.2%
Sound.java,98 (1.3%),53,54.1%,36,36.7%,9,9.2%
SoundManager.java,214 (2.8%),149,69.6%,50,23.4%,15,7.0%
Chirp.java,332 (4.1%),247,74.4%,49,14.8%,36,10.8%
ClientSide.java,10 (0.1%),3,30.0%,6,60.0%,1,10.0%
Flashlight.java,72 (0.9%),51,70.8%,0,0.0%,21,29.2%
HoodPositions.txt,4 (0.0%),4,100.0%,0,0.0%,0,0.0%
ISubsystem.java,96 (1.2%),20,20.8%,62,64.6%,14,14.6%
InitializationFailureException.java,43 (0.5%),15,34.9%,23,53.5%,5,11.6%
LEDs.java,198 (2.3%),161,81.3%,10,5.1%,27,13.6%
Logger.java,247 (2.8%),118,47.8%,93,37.7%,36,14.6%
PID.java,63 (0.7%),36,57.1%,18,28.6%,9,14.3%
Pneumatics.java,99 (1.1%),68,68.7%,6,6.1%,25,25.3%
QuoteOfTheDay.java,71 (0.8%),57,80.3%,11,15.5%,3,4.2%
ServerSide.java,10 (0.1%),3,30.0%,6,60.0%,1,10.0%
Servo.java,48 (0.5%),19,39.6%,23,47.9%,6,12.5%
SubsystemStatus.java,9 (0.1%),4,44.4%,4,44.4%,1,11.1%
UserInterface.java,119 (1.3%),86,72.3%,20,16.8%,13,10.9%
UtilFunctions.java,70 (0.8%),30,42.9%,35,50.0%,5,7.1%
